"filename", "language", "JavaScript", "CSS", "Markdown", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 18420, 0, 0, 1, 18421
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\package.json", "JSON", 0, 0, 0, 0, 43, 0, 0, 1, 44
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\add-cart.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\arrow.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\cart.svg", "XML", 0, 0, 0, 67, 0, 0, 0, 0, 67
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\compare.svg", "XML", 0, 0, 0, 11, 0, 0, 1, 0, 12
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\cross.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\del.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\gr.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\gr2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\gr3.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\gr4.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\img-zoom.svg", "XML", 0, 0, 0, 30, 0, 0, 0, 0, 30
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\menu.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\prodcompare.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\user.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\view.svg", "XML", 0, 0, 0, 48, 0, 0, 0, 0, 48
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\wish-black.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\wish.svg", "XML", 0, 0, 0, 41, 0, 0, 0, 0, 41
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\images\wishlist.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 37, 23, 1, 61
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\App.css", "CSS", 0, 445, 0, 0, 0, 0, 22, 99, 566
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\App.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Banner.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Banner.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\BlogCard.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\BreadCrumb.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Footer.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Footer.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 3, 110
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Header.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 3, 144
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Layout.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\Meta.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\ProductCard.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 4, 123
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\components\SpecialProduct.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 2, 63
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\About.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\Blog.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\Contact.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\Home.js", "JavaScript", 372, 0, 0, 0, 0, 0, 8, 6, 386
"c:\Users\Vikash\Desktop\Edugyan\2 ongoing\BME\frontend\src\pages\OurStore.js", "JavaScript", 272, 0, 0, 0, 0, 0, 0, 5, 277
"Total", "-", 1292, 455, 38, 255, 18488, 37, 54, 191, 20810