"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"e:\Edugyan\2 ongoing\BME\frontend\src\App.css", "CSS", 0, 0, 722, 44, 163, 929
"e:\Edugyan\2 ongoing\BME\frontend\src\App.js", "JavaScript", 55, 0, 0, 0, 3, 58
"e:\Edugyan\2 ongoing\BME\frontend\src\app\store.js", "JavaScript", 13, 0, 0, 0, 2, 15
"e:\Edugyan\2 ongoing\BME\frontend\src\components\Banner.js", "JavaScript", 27, 0, 0, 0, 2, 29
"e:\Edugyan\2 ongoing\BME\frontend\src\components\BlogCard.js", "JavaScript", 28, 0, 0, 45, 14, 87
"e:\Edugyan\2 ongoing\BME\frontend\src\components\BreadCrumb.js", "JavaScript", 19, 0, 0, 0, 3, 22
"e:\Edugyan\2 ongoing\BME\frontend\src\components\Color.js", "JavaScript", 14, 0, 0, 0, 3, 17
"e:\Edugyan\2 ongoing\BME\frontend\src\components\Container.js", "JavaScript", 9, 0, 0, 0, 3, 12
"e:\Edugyan\2 ongoing\BME\frontend\src\components\CustomInput.js", "JavaScript", 18, 0, 0, 0, 3, 21
"e:\Edugyan\2 ongoing\BME\frontend\src\components\Footer.js", "JavaScript", 107, 0, 0, 0, 2, 109
"e:\Edugyan\2 ongoing\BME\frontend\src\components\Header.js", "JavaScript", 146, 0, 0, 0, 3, 149
"e:\Edugyan\2 ongoing\BME\frontend\src\components\Layout.js", "JavaScript", 28, 0, 0, 0, 3, 31
"e:\Edugyan\2 ongoing\BME\frontend\src\components\Meta.js", "JavaScript", 11, 0, 0, 0, 4, 15
"e:\Edugyan\2 ongoing\BME\frontend\src\components\ProductCard.js", "JavaScript", 79, 0, 0, 9, 5, 93
"e:\Edugyan\2 ongoing\BME\frontend\src\components\SpecialProduct.js", "JavaScript", 58, 0, 0, 0, 2, 60
"e:\Edugyan\2 ongoing\BME\frontend\src\features\blog\blogService.js", "JavaScript", 18, 0, 0, 0, 4, 22
"e:\Edugyan\2 ongoing\BME\frontend\src\features\blog\blogSlice.js", "JavaScript", 63, 0, 0, 0, 7, 70
"e:\Edugyan\2 ongoing\BME\frontend\src\features\contact\contactService.js", "JavaScript", 13, 0, 0, 0, 4, 17
"e:\Edugyan\2 ongoing\BME\frontend\src\features\contact\contactSlice.js", "JavaScript", 52, 0, 0, 0, 5, 57
"e:\Edugyan\2 ongoing\BME\frontend\src\features\products\productService.js", "JavaScript", 56, 0, 0, 18, 12, 86
"e:\Edugyan\2 ongoing\BME\frontend\src\features\products\productSlice.js", "JavaScript", 94, 0, 0, 2, 9, 105
"e:\Edugyan\2 ongoing\BME\frontend\src\features\user\userService.js", "JavaScript", 61, 0, 0, 8, 15, 84
"e:\Edugyan\2 ongoing\BME\frontend\src\features\user\userSlice.js", "JavaScript", 135, 0, 0, 0, 9, 144
"e:\Edugyan\2 ongoing\BME\frontend\src\images\add-cart.svg", "XML", 0, 5, 0, 0, 0, 5
"e:\Edugyan\2 ongoing\BME\frontend\src\images\arrow.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\Edugyan\2 ongoing\BME\frontend\src\images\cart.svg", "XML", 0, 67, 0, 0, 0, 67
"e:\Edugyan\2 ongoing\BME\frontend\src\images\compare.svg", "XML", 0, 11, 0, 1, 0, 12
"e:\Edugyan\2 ongoing\BME\frontend\src\images\cross.svg", "XML", 0, 3, 0, 0, 0, 3
"e:\Edugyan\2 ongoing\BME\frontend\src\images\del.svg", "XML", 0, 4, 0, 0, 0, 4
"e:\Edugyan\2 ongoing\BME\frontend\src\images\gr.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\Edugyan\2 ongoing\BME\frontend\src\images\gr2.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\Edugyan\2 ongoing\BME\frontend\src\images\gr3.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\Edugyan\2 ongoing\BME\frontend\src\images\gr4.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\Edugyan\2 ongoing\BME\frontend\src\images\img-zoom.svg", "XML", 0, 30, 0, 0, 0, 30
"e:\Edugyan\2 ongoing\BME\frontend\src\images\menu.svg", "XML", 0, 23, 0, 0, 0, 23
"e:\Edugyan\2 ongoing\BME\frontend\src\images\prodcompare.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\Edugyan\2 ongoing\BME\frontend\src\images\user.svg", "XML", 0, 7, 0, 0, 0, 7
"e:\Edugyan\2 ongoing\BME\frontend\src\images\view.svg", "XML", 0, 48, 0, 0, 0, 48
"e:\Edugyan\2 ongoing\BME\frontend\src\images\wish-black.svg", "XML", 0, 4, 0, 0, 0, 4
"e:\Edugyan\2 ongoing\BME\frontend\src\images\wish.svg", "XML", 0, 41, 0, 0, 0, 41
"e:\Edugyan\2 ongoing\BME\frontend\src\images\wishlist.svg", "XML", 0, 6, 0, 0, 0, 6
"e:\Edugyan\2 ongoing\BME\frontend\src\index.js", "JavaScript", 11, 0, 0, 0, 2, 13
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\About.js", "JavaScript", 7, 0, 0, 0, 3, 10
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Blog.js", "JavaScript", 69, 0, 0, 10, 4, 83
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Cart.js", "JavaScript", 108, 0, 0, 0, 3, 111
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Checkout.js", "JavaScript", 154, 0, 0, 0, 3, 157
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\CompareProduct.js", "JavaScript", 109, 0, 0, 0, 2, 111
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Contact.js", "JavaScript", 153, 0, 0, 0, 4, 157
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Forgotpassword.js", "JavaScript", 38, 0, 0, 0, 4, 42
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Home.js", "JavaScript", 497, 0, 0, 15, 12, 524
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Login.js", "JavaScript", 81, 0, 0, 0, 5, 86
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\OurStore.js", "JavaScript", 256, 0, 0, 12, 8, 276
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\PrivacyPolicy.js", "JavaScript", 29, 0, 0, 0, 3, 32
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\RefundPolicy.js", "JavaScript", 29, 0, 0, 0, 3, 32
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Resetpassword.js", "JavaScript", 42, 0, 0, 0, 3, 45
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\ShippingPolicy.js", "JavaScript", 29, 0, 0, 0, 3, 32
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Signup.js", "JavaScript", 116, 0, 0, 0, 5, 121
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\SingleBlog.js", "JavaScript", 44, 0, 0, 0, 5, 49
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\SingleProduct.js", "JavaScript", 292, 0, 0, 0, 8, 300
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\TermsAndConditions.js", "JavaScript", 29, 0, 0, 0, 3, 32
"e:\Edugyan\2 ongoing\BME\frontend\src\pages\Wishlist.js", "JavaScript", 67, 0, 0, 1, 8, 76
"e:\Edugyan\2 ongoing\BME\frontend\src\utils\Data.js", "JavaScript", 27, 0, 0, 0, 1, 28
"e:\Edugyan\2 ongoing\BME\frontend\src\utils\axiosConfig.js", "JavaScript", 12, 0, 0, 1, 5, 18
"Total", "-", 3303, 255, 722, 166, 377, 4823